titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,box_office_total,note_presse,note_spectateurs,nombre_article,recompenses,description
Hunger Games: la Ballade du serpent et de l'oiseau chanteur,15/11/2023,Aventure,,Francis Lawrence, Metropolitan FilmExport ,"Tom Blyth,Rachel Zegler,Viola Davis",Hunger Games: The Ballad of Songbirds and Snakes,,Anglais,Long-métrage,2023,-,,,,,,"Prequel de Hunger Games se déroulant 64 ans plus tôt, dans les années qui ont suivi la période des ""Jours sombres"", la première rébellion ratée à Panem..."
Anti-Squat,06/09/2023,,,Nicolas Silhol, Diaphana Distribution ,"Louise Bourgoin,Samy Belkessa",,,Français,Long-métrage,2023,-,,,,,,"Inès est menacée de se faire expulser de chez elle avec Adam, son fils de 14 ans. A la recherche d’un emploi, elle est prise à l’essai chez Anti-Squat, une société qui loge des personnes dans des bureaux inoccupés pour les protéger contre les squatteurs. Son rôle : recruter les résidents et faire respecter un règlement très strict. Inès est prête à tout pour se faire embaucher et s’en sortir avec Adam. Mais jusqu’où ira-t-elle ?"
Expend4bles,11/10/2023,,,Scott Waugh, Metropolitan FilmExport ,"Sylvester Stallone,Jason Statham,Dolph Lundgren",,,Anglais,Long-métrage,2023,-,,,,,,"Nouveaux membres, nouveaux styles, nouvelles tactiques pour ce nouvel opus explosif !"
La Pat' Patrouille : La Super Patrouille Le Film,11/10/2023,Aventure,,Cal Brunker, Paramount Pictures France ,"Taraji P. Henson,Kristen Bell,Christian Convery",Paw Patrol: The Mighty Movie,,Anglais,Long-métrage,2023,-,,,,,,"Lorsqu'une météorite magique s'écrase sur Aventureville, elle donne à la Pat' Patrouille des pouvoirs, les transformant en Super Patrouille ! Pour Stella, la plus petite membre de l'équipe, avoir des pouvoirs est un rêve qui devient réalité. Mais les choses dégénèrent lorsque Monsieur Hellinger, l'ennemi juré de nos amis, s'évade de prison et s'associe à un savant fou afin de voler et de s’accaparer ces nouveaux pouvoirs. Le destin d'Aventureville est désormais en jeu, la Super Patrouille doit arrêter les super-vilains avant qu'il ne soit trop tard. Stella va découvrir que même le plus petit des chiens peut faire la plus grande des différences"
Le Temps D’Aimer,29/11/2023,Romance,125,Katell Quillévéré, Gaumont Distribution ,"Anaïs Demoustier,Vincent Lacoste,Paul Beaurepaire",,"France,Belgique",Français,Long-métrage,2023,"9,2 M€",,,,,2 nominations,
Club Zero,27/09/2023,Thriller,110,Jessica Hausner, Bac Films ,"Mia Wasikowska,Sidse Babett Knudsen,Elsa Zylberstein",,"Autriche,Allemagne,France,Grande-Bretagne,Danemark",Anglais,Long-métrage,2023,-,,,,,6 nominations,
La Vénus d'argent,06/12/2023,,95,Helena Klotz, Pyramide Distribution ,"Claire Pommet,Niels Schneider,Sofiane Zermani",,,Français,Long-métrage,2023,"3,2 M€",,,,,,"Jeanne a 24 ans. Elle vit dans une caserne en banlieue avec son père gendarme, son petit frère et sa petite sœur. Elle a fait le pari de réussir sa vie dans le monde de la finance. Pas pour la gloire ou le luxe, mais parce que c’est le moyen qu’elle a trouvé pour gagner sa liberté."
Making Of,10/01/2024,,,Cédric Kahn, Ad Vitam ,"Denis Podalydès,Jonathan Cohen,Stefan Crepon",,,Français,Long-métrage,2023,-,,,,,,"Simon, réalisateur aguerri, débute le tournage d’un film racontant le combat d’ouvriers pour sauver leur usine. Mais entre les magouilles de son producteur, des acteurs incontrôlables et des techniciens à cran, il est vite dépassé par les événements. Abandonné par ses financiers, Simon doit affronter un conflit social avec sa propre équipe. Dans ce tournage infernal, son seul allié est le jeune figurant à qui il a confié la réalisation du making of."
Coup de chance,27/09/2023,"Romance,Drame,Comédie",93,Woody Allen, Metropolitan FilmExport ,"Lou de Laâge,Melvil Poupaud,Niels Schneider",,"Grande-Bretagne,France",Français,Long-métrage,2023,-,,,,,,"Fanny et Jean ont tout du couple idéal : épanouis dans leur vie professionnelle, ils habitent un magnifique appartement dans les beaux quartiers de Paris et semblent amoureux comme au premier jour. Mais lorsque Fanny croise, par hasard, Alain, ancien camarade de lycée, elle est aussitôt chavirée. Ils se revoient très vite et se rapprochent de plus en plus…"
L'Amour ouf,16/10/2024,"Musical,Thriller",,Gilles Lellouche, StudioCanal ,"François Civil,Adèle Exarchopoulos,Mallory Wanecque",,"France,Belgique",Français,Long-métrage,2024,-,,,,,,"Un garçon, Clotaire, aime une fille, Jackie, et d’une fille qui aime un garçon depuis l’adolescence. Une histoire d’amour contrariée par les aléas de la vie, mais habitée par un amour si fort qu’il en est indestructible…"
Toni en famille,06/09/2023,,,Nathan Ambrosioni, StudioCanal ,"Camille Cottin,Léa Lopez,Thomas Gioria",,,Français,Long-métrage,2023,-,,,,,,"Antonia, dite Toni, élève seule ses cinq enfants. Un job à plein temps. Elle chante aussi le soir, dans des bars, car il faut bien nourrir sa famille. Toni a du talent. Elle a enregistré un single qui a cartonné. Mais ça, c’était il y a 20 ans. Aujourd’hui ses deux aînés s’apprêtent à rejoindre l’université. Alors Toni s’interroge : que fera-t-elle quand toute sa progéniture aura quitté le foyer ? A 43 ans, est-il encore temps de reprendre sa vie en main ?"
Le Grand chariot,13/09/2023,,95,Philippe Garrel, Ad Vitam ,"Louis Garrel,Damien Mongin,Esther Garrel",,"France,Suisse",Français,Long-métrage,2023,-,,,,,1 prix et 7 nominations,"Le Grand Chariot est une constellation d’étoiles. C’est aussi un théâtre de marionnettes. C’est l’histoire d’une famille de marionnettistes, une fratrie, Louis et ses deux soeurs, Martha et Lena, leur père qui dirige la troupe et la grand-mère qui a fabriqué les poupées. Ensemble, ils forment une compagnie et donnent des spectacles de marionnettes. Un jour, lors d’une représentation, le père meurt d’une attaque, laissant ses enfants seuls."
Pauvres créatures,11/10/2023,"Science fiction,Romance",,Yórgos Lánthimos, The Walt Disney Company France ,"Emma Stone,Mark Ruffalo,Willem Dafoe",Poor Things,"Irlande,Grande-Bretagne,U.S.A.",Anglais,Long-métrage,2023,-,,,,11 Photos,,"Bella est une jeune femme ramenée à la vie par le brillant et peu orthodoxe Dr Godwin Baxter. Sous sa protection, elle a soif d’apprendre. Avide de découvrir le monde dont elle ignore tout, elle s'enfuit avec Duncan Wedderburn, un avocat habile et débauché, et embarque pour une odyssée étourdissante à travers les continents. Imperméable aux préjugés de son époque, Bella est résolue à ne rien céder sur les principes d’égalité et de libération."
Les Feuilles mortes,20/09/2023,"Comédie,Romance",81,Aki Kaurismäki, Diaphana Distribution ,"Alma Pöysti,Jussi Vatanen,Janne Hyytiäinen",Kuolleet lehdet,,Finnois,Long-métrage,2023,-,,,,11 Photos,1 prix et 4 nominations,
Acide,20/09/2023,Drame,90,Just Philippot, Pathé ,"Guillaume Canet,Laetitia Dosch,Patience Munchenbach",,,Français,Long-métrage,2023,-,,,,13 Photos,,
Pearl,,,103,Ti West,"
1 nomination
","Mia Goth,David Corenswet,Tandi Wright",,"Canada,U.S.A.","Anglais, Japonais, Espagnol",Long-métrage,2022,-,,,,,,"Piégée dans la ferme isolée de sa famille, Pearl doit s'occuper de son père malade sous le regard autoritaire de sa mère dévote. Désireuse de mener une vie glamour comme elle l'a vu dans les films, Pearl voit ses ambitions limitées... ce qu'elle n'apprécie pas du tout !"
The Wastetown,02/08/2023,,98,Ahmad Bahrami, Bodega Films ,"Baran Kosari,Ali Bagheri",Shahre Khamoush,,Farsi,Long-métrage,2022,-,,,,,,"Coupable du meurtre de son mari, Bermani est emprisonnée pendant 10 ans. Libérée, elle part à la recherche de son jeune fils et se rend à la casse automobile où travaille son beau-frère..."
Ducobu passe au vert,03/04/2024,,,Elie Semoun, UGC Distribution ,"Elie Semoun,Émilie Caen,Gérard Jugnot",,,Français,Long-métrage,2024,-,,,,,,Le roi de la triche revient dans de nouvelles aventures !
Monsieur Aznavour,23/10/2024,,,Mehdi Idir, Pathé ,"Tahar Rahim,Lionel Cecilio,Tigran Mekhitarian",,,Français,Long-métrage,2024,-,,,,,,Le film retracera l'ascension du chanteur de La Bohème à partir des années 1950.
Maison de retraite 2,14/02/2024,,,Claude Zidi Jr., Apollo Films ,"Kev Adams,Jean Reno,Daniel Prévost",,,Français,Long-métrage,2024,-,,,,,,"Suite des aventures de Milann et des pensionnaires de la maison de retraite : Fleurette, Sylvette, Alfred, Edmond… qui côtoient désormais les enfants d’un orphelinat. Où il serait question de manigances autour d’une sombre affaire d’expulsion."
La Tresse,29/11/2023,Comédie,,Laetitia Colombani, SND ,"Kim Raver,Fotinì Peluso,Mia Maelzer",,"France,Italie,Canada,Belgique","Hindi, Italien, Anglais",Long-métrage,2023,-,,,,,,"Inde. Smita est une Intouchable. Elle rêve de voir sa fille échapper à sa condition misérable et entrer à l'école. Italie. Giulia travaille dans l'atelier de son père. Lorsqu'il est victime d'un accident, elle découvre que l'entreprise familiale est ruinée. Canada. Sarah, avocate réputée, va être promue à la tête de son cabinet quand elle apprend qu'elle est malade. Trois vies, trois femmes, trois continents. Trois combats à mener. Si elles ne se connaissent pas, Smita, Giulia et Sarah sont liées sans le savoir par ce qu'elles ont de plus intime et de plus singulier."
Fast & Furious 11,,,,Louis Leterrier, Universal Pictures International France ,"Vin Diesel,Michelle Rodriguez,Tyrese Gibson",,,Anglais,Long-métrage,2025,-,,,,,,Onzième et dernier volet de la saga Fast & Furious.
La Zone d'intérêt,31/01/2024,"Drame,Historique",106,Jonathan Glazer, Bac Films ,"Sandra Hüller,Christian Friedel,Ralph Herforth",The Zone Of Interest,"U.S.A.,Grande-Bretagne,Pologne","Anglais, Polonais, Allemand",Long-métrage,2023,-,,,,,2 prix et 4 nominations,
Infiltrée,23/08/2023,Thriller,125,Justin Lerner, L'Atelier Distribution ,"Karen Martínez,Rudy Rodríguez,Pamela Martínez (II)",Cadejo blanco,"Guatemala,U.S.A.,Mexique",Espagnol,Long-métrage,2022,-,,,,,,"Sarita apprend que le nouveau petit ami de sa sœur fait partie d'un dangereux gang. Quand elle disparait après une soirée, elle le suspecte immédiatement et va trouver un moyen d'infiltrer son gang. Prête à tout pour découvrir la vérité, elle se retrouve impliquée dans leurs crimes."
Avengers: The Kang Dynasty,29/04/2026,,,Destin Daniel Cretton, The Walt Disney Company France ,Jonathan Majors,,,Anglais,Long-métrage,2026,-,,,,,,
Les Trolls 3,18/10/2023,"Comédie,Famille,Action",,Tim Heitz, Universal Pictures International France ,"Matt Pokora,Justin Timberlake, Vitaa",Trolls Band Together,,Anglais,Long-métrage,2023,-,,,,,,"Après deux films à se tourner autour pour finalement tomber dans les bras l’un de l’autre, Poppy et Branch sont officiellement en couple (#broppy)! Alors qu’ils n’ont plus de secrets l’un pour l’autre, Poppy fait une découverte incroyable relative au passé de Branch. À l’époque, avec ses quatre frères, Floyd, John Dory, Spruce et Clay, ils formaient le Boys Band le plus en vogue du moment, les BroZone. Alors qu’il n’était qu’un enfant, le groupe s’est séparé, tout comme la famille et depuis Branch n’a jamais revu ses frères."
Captain America: Brave New World,24/07/2024,Fantastique,,Julius Onah, The Walt Disney Company France ,"Anthony Mackie,Tim Blake Nelson,Shira Haas",,,Anglais,Long-métrage,2024,-,,,,,,"Qui reprendra le costume et le célèbre bouclier ? Ce nouvel opus, situé après les événements de la série Falcon & The Winter Soldier, poursuit la passation symbolique du titre de Captain America."
La Planète des singes,22/05/2024,Aventure,,Wes Ball, The Walt Disney Company France ,"Owen Teague,Freya Allan,Peter Macon",Kingdom of the Planet of the Apes,,Anglais,Long-métrage,2024,-,,,,,,Une nouvelle version de la saga La Planète des singes...
