titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,box_office_total,note_presse,note_spectateurs,nombre_article,recompenses,description
"Édouard Louis, ou la transformation",29/11/2023,,70,François Caillat, Outplay Films ,,,,Français,Long-métrage,2023,-,,,,,,"Edouard Louis, ou la transformation raconte la métamorphose d’un garçon, issu d’un milieu sous-prolétaire picard, en star de la vie culturelle française. Edouard Louis, devenu en quelques années l’écrivain porte-parole d’une génération, engage chacun de nous à faire de la transformation permanente un nouveau mode d’existence."
The Exorcist: Deceiver,16/04/2025,,,David Gordon Green, Universal Pictures International France ,"Ellen Burstyn,Leslie Odom Jr.,Ann Dowd",,,Anglais,Long-métrage,2025,-,,,,,,Deuxième volet de la franchise de L'Exorciste.
La Louve,30/08/2023,,60,Manon Décor, Cinéma Saint-André des Arts ,"Jessica Mazzoli,Pierre-Yves Massip,Carolina Vinci",La Lupa,"France,Italie",-,Long-métrage,2020,-,,,,,,"Un village sarde, au début du XXe siècle. « La Louve » raconte l’histoire d’une femme nommée ainsi à cause des relations qu’elle entretient avec les hommes du village. Sa liberté ne trouve pas sa place dans les bonnes manières de cette petite société, et la conduira à sa destinée."
"Moi, capitaine",03/01/2024,,124,Matteo Garrone, Pathé ,"Seydou Sarr,Moustapha Fall,Bamar Kane",Io Capitano,"Italie,Belgique,Luxembourg,France","Italien, Français, Anglais",Long-métrage,2023,-,,,,,,L’incroyable odyssée de deux jeunes Sénégalais en route vers l’Italie.
Jeff Panacloc - A la poursuite de Jean-Marc,20/12/2023,,,Pierre-François Martin-Laval, SND ,"Jeff Panacloc,Nicolas Marié,Théodore Le Blanc",,,Français,Long-métrage,2023,"9,8 M€",,,,,,Ce film met en scène la rencontre entre Jeff Panacloc et sa marionnette Jean-Marc qui est vivante.
El Conde,,,,Pablo Larraín,"
1 nomination
","Jaime Vadell,Gloria Münchmeyer,Alfredo Castro",,"Chili,U.S.A.",Espagnol,Long-métrage,2023,-,,,,,,Le film dépeindra le dictateur chilien Augusto Pinochet comme un vampire de 250 ans qui ne souhaite rien d'autre que de mourir enfin après le déshonneur et les crises familiales qu'il a provoqués.
Alien: Romulus,14/08/2024,,,Fede Alvarez, The Walt Disney Company France ,"Cailee Spaeny,Isabela Merced,David Jonsson Fray",,,Anglais,Long-métrage,2024,-,,,,,,"Dans cette neuvième aventure, un groupe de jeunes gens vivant dans un monde lointain se retrouvera confronté à la forme de vie la plus terrifiante de l'univers."
Le Syndrome des amours passées,25/10/2023,"Fantastique,Drame",89,Ann Sirot, KMBO ,"Lucie Debay,Lazare Gousseau,Florence Loiret-Caille",,"Belgique,France",Français,Long-métrage,2023,-,,,,,3 nominations,
The Color Purple,24/01/2024,,,Blitz Bazawule, Warner Bros. France ,"Halle Bailey,Taraji P. Henson,Elizabeth Marvel",,,Anglais,Long-métrage,2023,-,,,,,,"Le parcours d'une femme noire, Célie, sur plusieurs décennies. Elle a grandi dans une extrême pauvreté au coeur d'une plantation de coton dans le sud des Etats-Unis. Elle a connu la maltraitance par son beau-père puis par son mari. Ces sévices mettent à l'épreuve sa foi en Dieu et en l'humanité."
Twisters,17/07/2024,,,Lee Isaac Chung, Warner Bros. France ,"Daisy Edgar-Jones,Glen Powell,Anthony Ramos",,,Anglais,Long-métrage,2024,-,,,,,,"Il y a 20 ans, des scientifiques ont réalisé l'impossible. Ils ont recueilli un ensemble complet de données à l'intérieur d'une tornade monstre de catégorie F5. Grâce à l'application de ces données, ils ont pu créer Antheia, un système avancé d'alerte. Grâce à ces informations, des milliers de vies ont été sauvées et les populations ont grandi confortablement sous l'œil vigilant de leur protecteur. Cependant, alors que la science se complaît dans l'autosatisfaction, mère nature continue d'évoluer..."
Psycho-Pass : Providence,25/08/2023,"Science fiction,Thriller",120,Naoyoshi Shiotani, Sony Pictures Releasing France ,"Kana Hanazawa,Noriko Hidaka,Shizuka Ito",Gekijōban Psycho-Pass: Providence,,Japonais,Long-métrage,2023,-,,,,,,"Au XXIIe siècle, le Japon a mis en place le Système Sibyl. Ce processus détecte le niveau de criminalité qui sommeille en chaque citoyen, permettant ainsi de prévenir la moindre menace pour la société. Une brigade spéciale est ainsi chargée de faire respecter cette loi, mais ils sont aidés d’anciens inspecteurs devenus de véritables criminels à qui est laissée l’exécution des besognes les plus sales."
A Good Person,,Drame,125,Zach Braff,,"Florence Pugh,Morgan Freeman,Celeste O’Connor",,,Anglais,Long-métrage,2023,-,,,,,,"La vie d'une jeune femme se brise suite à son implication dans un accident mortel. Quelques années plus tard, sa relation inattendue avec son futur beau-père l'aide à y reprendre goût."
Elio,28/02/2024,"Science fiction,Comédie,Famille",,Adrian Molina, The Walt Disney Company France ,"Yonas Kibreab,America Ferrera,Jameela Jamil",,,Anglais,Long-métrage,2024,-,,,,,,"Elio, un petit garçon à l'imagination débordante, se retrouve par inadvertance téléporté au Communiverse, une organisation interplanétaire composée de représentants de galaxies très éloignées. Identifié à tort par ces éminences comme l'ambassadeur de la Terre, Elio est tout sauf préparé à une telle pression. Son aventure va le conduire à tisser des liens avec des créatures extraterrestres excentriques, à survivre à une série d'épreuves plus redoutables les unes que les autres mais aussi, d'une manière ou d'une autre, à découvrir qui il est vraiment censé être..."
"Ma Vie est un Défi, 1000 km pour défier le Parkinson",23/08/2023,,84,Stephan Rytz, Jupiter Films ,,,,Français,Long-métrage,2022,-,,,,,,"Ex-golfeur professionnel, Yves Auberson est atteint de la maladie de Parkinson depuis l'âge de 35 ans. Souvent considérée comme la maladie du vieillissement, elle touche aujourd'hui toujours plus de jeunes patients. Pourtant, Yves n'a aucun antécédent familial et rien ne laissait présager qu'un tel diagnostic allait être posé."
Sonic The Hedgehog 3,18/12/2024,,,Jeff Fowler, Paramount Pictures France ,"Ben Schwartz,Idris Elba,Colleen O'Shaughnessey",,,Anglais,Long-métrage,2024,-,,,,,,"Troisième volet des aventures de Sonic, le rapide hérisson bleu..."
Backstreet Dogs,29/11/2023,Aventure,93,Josh Greenbaum, Universal Pictures International France ,"Jamie Foxx,Will Ferrell,Randall Park",Strays,,Anglais,Long-métrage,2023,-,,,,,,Un chien abandonné fait équipe avec d'autres chiens errants pour se venger de son ancien propriétaire.
Gadar 2,11/08/2023,Drame,165,Anil Sharma, Night ed films ,"Sunny Deol,Ameesha Patel,Gaurav Chopra",,,Hindi,Long-métrage,2023,-,,,,,,"Pendant le conflit indo-pakistanais de 1971, Tara Singh décide de retourner au Pakistan afin de ramener son fils, Charanjeet, avec lui."
Pas de vagues,27/03/2024,,,Teddy Lussi-Modeste, Ad Vitam ,François Civil,,,Français,Long-métrage,2023,-,,,,,,"Un jeune professeur est accusé de harcèlement par une de ses élèves. Même s'il est innocent, l'incident tourne à l'incendie et embrase le collège."
Bâtiment 5,06/12/2023,,,Ladj Ly, Le Pacte ,"Alexis Manenti,Anta Diaw,Jeanne Balibar",,,Français,Long-métrage,2023,-,,,,,,
97 Minutes,,Thriller,93,Timo Vuorensola,,"Jonathan Rhys-Meyers,Alec Baldwin,Myanna Buring",,,Anglais,Long-métrage,2022,-,,,,,,Un avion détourné ne lui reste suffisamment d'essence que pour tenir 97 minutes dans les airs.
Le Petit Blond de la Casbah,25/10/2023,,,Alexandre Arcady, Dulac Distribution ,"Léo Campion (II),Marie Gillain,Christian Berkel",,"France,Tunisie","Français, Algérien",Long-métrage,2023,-,,,,,,"L’enfance du cinéaste Antoine Lisner. Accompagné de son fils qui a le même âge que lui quand il a quitté l’Algérie en 1962, il vient présenter un long-métrage à Alger."
Dans la toile (Cobweb),08/11/2023,Drame,134,Kim Jee-Woon, The Jokers / Les Bookmakers ,"Song Kang-Ho,Im Soo-Jung,Jeon Yeo-bin",Geomijip,,Coréen,Long-métrage,2022,-,,,,,,
"Moi, Moche et Méchant 4",03/07/2024,"Famille,Aventure",,Chris Renaud, Universal Pictures International France ,"Steve Carell,Kristen Wiig,Pierre Coffin",Despicable Me 4,,Anglais,Long-métrage,2024,-,,,,,,Quatrième volet des aventures de Gru.
Linda veut du poulet !,18/10/2023,"Comédie,Famille",73,Chiara Malta, Gebeka Films ,"Mélinée Leclerc,Clotilde Hesme,Laetitia Dosch",,"France,Italie",Français,Long-métrage,2023,-,,,,,2 nominations,
Leave The World Behind,,,,Sam Esmail,,"Julia Roberts,Mahershala Ali,Ethan Hawke",,,Anglais,Long-métrage,2023,-,,,,,,"Un couple loue une maison dans un coin reculé du Long Island pour y passer des vacances paisibles avec ses deux enfants. Un soir, les propriétaires de la demeure reviennent en urgence, affirmant qu'une coupure électrique a paralysé les alentours. Sans téléphone, télévision, ni internet, les locataires plongent dans l'incertitude. Peuvent-ils vraiment faire confiance à leurs hôtes ?"
Et la fête continue,06/12/2023,,,Robert Guédiguian, Diaphana Distribution ,"Ariane Ascaride,Jean-Pierre Darroussin,Gérard Meylan",,"France,Italie",Français,Long-métrage,2023,"3,9 M€",,,,,,"A Marseille, Rosa, 60 ans a consacré sa vie à sa famille et à la politique avec le même sens du sacrifice. Tous pensent qu’elle est inébranlable d’autant que Rosa est la seule qui pourrait sceller l’union de la gauche à la veille d’une échéance électorale décisive. Elle s’accommode finalement bien de tout ça, jusqu’au jour où elle tombe amoureuse d’Henri. Pour la première fois, Rosa a peur de s’engager. Entre la pression de sa famille politique et son envie de lâcher prise, le dilemme est lourd à porter."
Conann,29/11/2023,"Drame,Action",105,Bertrand Mandico, UFO Distribution ,"Elina Löwensohn,Christa Théret,Julia Riedler",,"France,Luxembourg,Belgique","Français, Allemand, Anglais",Long-métrage,2023,-,,,,,2 nominations,
Le Jeu de la reine,28/02/2024,"Historique,Drame,Thriller",120,Karim Aïnouz, ARP Sélection ,"Alicia Vikander,Jude Law,Simon Russell Beale",Firebrand,"U.S.A.,Grande-Bretagne",Anglais,Long-métrage,2023,-,,,,,5 nominations,
Chien et Chat,14/02/2024,Comédie,,Reem Kherici, Gaumont Distribution ,"Reem Kherici,Franck Dubosc,Philippe Lacheau",,,Français,Long-métrage,2024,-,,,,,,"MONICA est la propriétaire de DIVA, célèbre chat et star d’Internet. JACK est un voleur dont le dernier larcin, un énorme rubis d’une valeur inestimable, a malencontreusement été avalé par un chien errant nommé CHICHI. Par un concours de circonstances, Monica et Jack se retrouvent séparés de leurs animaux et les voient donc, impuissants, s’échapper vers une destination inconnue… Commence alors un fou road trip entre Montréal et New York pour les deux duos que tout oppose. Avec d’un côté, les humains qui ont perdu la trace de leurs précieux animaux et de l’autre, les animaux livrés à eux-mêmes pour retrouver leurs maîtres… sans savoir qu’à leur trousse, le policier BRANDT est prêt à tout pour récupérer le rubis."
L'Air de la mer rend libre,04/10/2023,,90,Nadir Moknèche, Pyramide Distribution ,"Youssouf Abi-Ayad,Kenza Fortas,Saadia Bentaïeb",,,Français,Long-métrage,2023,-,,,,,,"Rennes, de nos jours. Saïd habite encore chez ses parents. Il vit une liaison secrète avec Vincent. Incapable d’affronter sa famille, il accepte un mariage arrangé avec Hadjira. Après une histoire d’amour malheureuse et quelques démêlés avec la justice, elle aussi s’est résignée à obéir à sa mère. Piégés par leurs familles, Saïd et Hadjira s’unissent malgré eux, pour retrouver, chacun de son côté, leur liberté."
May December,24/01/2024,Romance,113,Todd Haynes, ARP Sélection ,"Natalie Portman,Julianne Moore,Charles Melton",,,Anglais,Long-métrage,2023,-,,,,,5 nominations,
Le Ravissement,11/10/2023,,97,Iris Kaltenbäck, Diaphana Distribution ,"Hafsia Herzi,Alexis Manenti,Nina Meurisse",,,Français,Long-métrage,2023,-,,,,,1 prix et 6 nominations,
Abdelinho,16/08/2023,Drame,100,Hicham Ayouch, Urban Distribution ,"Ali Suliman,Aderrahim Tamimi,Inês Monteiro",,,"Arabe, Portugais",Long-métrage,2022,-,,,,,,"Abdelinho, de son vrai prénom Abdellah vit dans une petite ville au Maroc. Abdelinho est coincé entre une mère hystérique et un travail kafkaïen dans une administration. Sa seule échappatoire : le Brésil et son amour pour Maria, l'héroïne d'une télénovela éponyme. Cette passion est menacée par l'arrivée de l’obscur Amr Taleb, télévangéliste musulman, qui prône une sobriété bien éloignée des cours de samba donnés par Abdelinho aux femmes de sa ville."
Transformers One,16/10/2024,Action,,Josh Cooley, Paramount Pictures France ,"Chris Hemsworth,Brian Tyree Henry,Scarlett Johansson",,,Anglais,Long-métrage,2024,-,,,,,,"Un prequel animé de la saga ""Transformers"" centré sur la planète Cybertron."
Rue des dames,20/09/2023,,97,Hamé Bourokba, The Jokers / Les Bookmakers ,"Garance Marillier,Bakary Keita,Sandor Funtek",,,Français,Long-métrage,2023,-,,,,,,"Mia, 25 ans, employée dans un petit salon de manucure dans le 18e à Paris, apprend qu’elle est enceinte. Il lui faut trouver d’urgence un nouvel appartement alors que son copain Nabil, en liberté conditionnelle, peine à joindre les deux bouts. Lancée dans une frénétique course contre la montre, Mia monte une combine impliquant des clientes du salon, des soirées privées, et un footballeur-star. Cette fois, elle n’a plus le choix : elle doit reprendre son destin en main."
The Lord Of The Rings: The War Of Rohirrim,10/04/2024,Fantastique,,Kenji Kamiyama, Warner Bros. France ,"Brian Cox,Gaia Wise,Miranda Otto",,,Anglais,Long-métrage,2024,-,,,,,,"Film d'animation qui se concentrera sur le puissant roi de Rohan, Helm Hammerhand, et sur une bataille légendaire qui a contribué à façonner la Terre du Milieu. L'action se déroulera environ 250 ans avant la trilogie du Seigneur des Anneaux de Peter Jackson."
Les Secrets de la princesse de Cadignan,13/09/2023,Romance,88,Arielle Dombasle, ARP Sélection ,"Arielle Dombasle,Julie Depardieu,Cédric Kahn",,,Français,Long-métrage,2023,-,,,,12 Photos,,"C’est une princesse, une grande séductrice. « Don Juan femme », selon l'expression de Balzac. D'une intelligence diabolique. Cette femme, qui a eu de nombreux amants, presque tous les personnages masculins de la « Comédie humaine », va enfin trouver l'amour. Le vrai. Le grand."
Gueules noires,29/11/2023,,,Mathieu Turi, Alba Films ,"Amir El Kacem,Samuel Le Bihan,Thomas Solivérès",,,Français,Long-métrage,2023,-,,,,,,"1956, dans le nord de la France. Une bande de mineurs de fond se voit obligée de conduire un professeur faire des prélèvements à mille mètres sous terre. Après un éboulement qui les empêche de remonter, ils découvrent une crypte d’un autre temps, et réveillent sans le savoir une créature légendaire assoiffée de sang…"
Je ne suis pas un héros,15/11/2023,,,Rudy Milstein, Paname Distribution ,"Vincent Dedienne,Géraldine Nakache,Clémence Poésy",,,Français,Long-métrage,2023,-,,,,,,"Louis est gentil. Il est si gentil qu'on ne le remarque pas. En fait, Louis passe à côté de sa vie. Le jour où il se croit atteint d’un cancer, son entourage semble s'apercevoir de son existence pour la première fois, et les opportunités personnelles comme professionnelles pleuvent. Son cabinet d'avocats lui impose alors de défendre une multinationale. Louis découvre qu'exister aux yeux des autres a un prix, celui du mensonge."
Minecraft,02/04/2025,Aventure,,Jared Hess, Warner Bros. France ,Jason Momoa,,,Anglais,Long-métrage,2025,-,,,,,,"Un film adapté du jeu phénomène Minecraft, créé par Markus “Notch” Persson."
Avengers: Secret Wars,05/05/2027,,,Michael Waldron, The Walt Disney Company France ,,,,Anglais,Long-métrage,2027,-,,,,,,Adaptation de Secret Wars de Jim Shooter.
Banel & Adama,30/08/2023,,87,Ramata-Toulaye Sy, Tandem ,"Khady Mane,Mamadou Diallo,Binta Racine Sy",,"France,Sénégal,Mali",Français,Long-métrage,2023,-,,,,,7 nominations,
La Petite,20/09/2023,,92,Guillaume Nicloux, SND ,"Fabrice Luchini,Mara Taquin,Maud Wyler",,"France,Belgique",Français,Long-métrage,2023,-,,,,,,"Joseph apprend que son fils et le compagnon de celui-ci viennent de périr dans un accident. Ils attendaient un enfant via une mère porteuse en Belgique. Que va devenir leur futur bébé ? Joseph en est-il le grand-père légitime ? Porté par la promesse de cette naissance qui va prolonger l’existence de son fils, le sexagénaire part à la rencontre de la jeune flamande au caractère farouche et indomptable…"
The Pod Generation,25/10/2023,"Comédie,Romance",111,Sophie Barthes, Jour2fête ,"Emilia Clarke,Chiwetel Ejiofor,Rosalie Craig",,"U.S.A.,France,Belgique",Anglais,Long-métrage,2023,-,,,,15 Photos,,"Dans un futur proche où l'intelligence artificielle prend le pas sur la nature, Rachel et Alvy, couple new-yorkais, décident d'avoir un enfant. Un géant de la technologie, vantant les mérites d'une maternité plus simple et plus paritaire, propose aux futurs parents de porter l'enfant dans un POD. Alvy a des doutes, mais Rachel, business-woman en pleine ascension, l'incite à accepter cette expérience..."
Godzilla x Kong: The New Empire,13/03/2024,Science fiction,,Adam Wingard, Warner Bros. France ,"Dan Stevens,Rebecca Hall,Brian Tyree Henry",,,Anglais,Long-métrage,2023,-,,,,,,Suite de Godzilla vs. Kong (2021).
Le Règne animal,04/10/2023,"Aventure,Drame",128,Thomas Cailley, StudioCanal ,"Romain Duris,Paul Kircher,Adèle Exarchopoulos",,,Français,Long-métrage,2023,-,,,,,6 nominations,
Complètement cramé !,01/11/2023,Romance,,Gilles Legardinier, Universal Pictures International France ,"John Malkovich,Fanny Ardant,Philippe Bas",,"Luxembourg,France",Français,Long-métrage,2023,-,,,,,,"Depuis la perte de sa femme, Andrew Blake n’a plus le cœur à rien. Un ultime élan le pousse à retourner en France, dans la propriété où ils s’étaient rencontrés. Ce voyage vers le souvenir des jours heureux ne va pas du tout se passer comme prévu. Lorsqu’il débarque au domaine de Beauvillier, Blake se retrouve engagé comme majordome à l’essai suite à un quiproquo. Face à celles et ceux qu’il découvre aussi perdus que lui dans cet endroit à part, cet homme qui croyait sa vie finie va être obligé de tout recommencer."
Thunderbolts,18/12/2024,,,Jake Schreier, The Walt Disney Company France ,"Florence Pugh,Sebastian Stan,Steven Yeun",,,Anglais,Long-métrage,2024,-,,,,,,"Rassemblement de super-vilains et anti-héros du Marvel Cinematic Universe, envoyés sur des missions secrètes pour tenter de se racheter."
Rosalie,24/01/2024,"Drame,Romance",115,Stéphanie Di Giusto, Gaumont Distribution ,"Nadia Tereszkiewicz,Benoît Magimel,Benjamin Biolay",,"France,Belgique",Français,Long-métrage,2023,-,,,,,7 nominations,
Le Procès Goldman,27/09/2023,"Drame,Historique,Judiciaire",116,Cédric Kahn, Ad Vitam ,"Arieh Worthalter,Arthur Harari,Jeremy Lewin",,,Français,Long-métrage,2023,-,,,,,2 nominations,
Deadpool 3,01/05/2024,Science fiction,,Shawn Levy, The Walt Disney Company France ,"Ryan Reynolds,Hugh Jackman,Lewis Tan",,,Anglais,Long-métrage,2024,-,,,,,,L'introduction de l'équipe X-Force dans l'univers Marvel/Fox.
Ghostbusters Sequel,27/03/2024,Action,,Gil Kenan, Sony Pictures Releasing France ,"Mckenna Grace,Ernie Hudson,Paul Rudd",,,Anglais,Long-métrage,2024,-,,,,,,Suite des événements de Ghostbusters: Afterlife.
Avatar 3,17/12/2025,Animation,,James Cameron, The Walt Disney Company France ,"Sam Worthington,Zoe Saldana,Sigourney Weaver",,,Anglais,Long-métrage,2025,-,,,,,,"Le troisième volet de la saga ""Avatar""."
Beetlejuice 2,11/09/2024,,,Tim Burton, Warner Bros. France ,"Michael Keaton,Jenna Ortega,Winona Ryder",,,Anglais,Long-métrage,2024,-,,,,,,Suite du film réalisé par Tim Burton en 1988.
The Black Demon,,"Epouvante-horreur,Science fiction",120,Adrian Grunberg,,"Josh Lucas,Fernanda Urrejola,Raúl Méndez",,,Anglais,Long-métrage,2023,-,,,,,,"Paul Sturges, accompagné de sa femme et de ses deux enfants, arrive en vacances à Bahia Azul (Cancún). Lors d'une promenade en famille en mer, ils s'approchent d’une plateforme pétrolière en ruine appartenant à la société de Paul pour la visiter. Mais la petite famille va soudain se retrouver coincer face à l’attaque d’un mégalodon. Paul va devoir mettre sa famille en sécurité et affronter « le démon noir »."
Mafia Mamma,,"Action,Policier",101,Catherine Hardwicke,,"Toni Collette,Monica Bellucci,Alfonso Perugini",,"Grande-Bretagne,Italie,U.S.A.",Anglais,Long-métrage,2023,-,,,,13 Photos,,"Une américaine hérite de l'empire mafieux de son grand-père. Guidée par le ""Consigliere"" (bras droit du Parrain), elle étonne tout le monde en devenant le nouveau chef de l'entreprise familiale."
Nina et le secret du hérisson,11/10/2023,,78,Alain Gagnol, KMBO ,"Audrey Tautou,Guillaume Canet,Guillaume Bats",,"France,Luxembourg",Français,Long-métrage,2023,-,,,,,,"Nina aime écouter les histoires que lui raconte son père pour s’endormir, celles d’un hérisson qui découvre le monde. Un soir, son père, préoccupé par son travail, ne vient pas lui conter une nouvelle aventure... Heureusement, son meilleur ami Mehdi est là pour l’aider à trouver une solution : et si le trésor caché dans la vieille usine pouvait résoudre tous leurs problèmes ? Commence alors une grande aventure où il faut échapper à la vieille voisine et à son chat Touffu, déjouer les pièges du gardien et embobiner son gros chien... Sans compter le petit hérisson qui mène l’enquête à leurs côtés !"
Kandahar,,Thriller,119,Ric Roman Waugh,,"Gerard Butler,Navid Negahban,Travis Fimmel",,,Anglais,Long-métrage,2023,-,,,,12 Photos,,"Tom Harris est un agent secret de la CIA infiltré au Moyen-Orient. Une fuite des renseignements révèle son identité alors qu’il est en mission. Coincés au cœur d’un territoire hostile, Harris et son interprète afghan Kahil, doivent se frayer un chemin hors du désert jusqu’à Kandahar, leur point d’exfiltration, tout en échappant aux forces spéciales d’élite qui les pourchassent. La course contre la montre commence."
Banlieusards 2,,,,Leïla Sy,,"Kery James,Jammeh Diangana,Bakary Diombera",,,Français,Long-métrage,2023,-,,,,,,"L'histoire des frères Traoré: Demba, Soulaymaan et Noumouké. L'un veut changer de vie après avoir frôlé la mort, le second fait ses premiers pas en tant qu'avocat tandis que le dernier prend part à de nombreuses rixes entre quartiers rivaux. Les 3 frères résisteront-ils à la vague de violence et à la brutalité des événements qui s'abattent sur eux ?"
Aquaman et le Royaume perdu,20/12/2023,Fantastique,,James Wan, Warner Bros. France ,"Jason Momoa,Amber Heard,Yahya Abdul-Mateen II",Aquaman and the Lost Kingdom,,Anglais,Long-métrage,2023,-,,,,,,Suite des aventures d'
Le Livre des solutions,13/09/2023,"Drame,Comédie",102,Michel Gondry, The Jokers / Les Bookmakers ,"Pierre Niney,Blanche Gardin,Françoise Lebrun",,,Français,Long-métrage,2023,-,,,,,2 nominations,
Past Lives – Nos vies d’avant,13/12/2023,,106,Celine Song, ARP Sélection ,"Greta Lee,Yoo Teo,John Magaro",Past Lives,,Anglais,Long-métrage,2023,-,,,,17 Photos,9 nominations,"A 12 ans, Nora et Hae Sung sont amis d’enfance, amoureux platoniques. Les circonstances les séparent. A 20 ans, le hasard les reconnecte, pour un temps. A 30 ans, ils se retrouvent, adultes, confrontés à ce qu’ils auraient pu être, et à ce qu’ils pourraient devenir."
Super-bourrés,30/08/2023,,79,Bastien Milheau, Zinc Film ,"Pierre Gommé,Nina Poletto,Vincent Moscato",,,Français,Long-métrage,2023,-,,,,10 Photos,,"Dernière journée avant la fin du lycée. Janus et Sam doivent apporter à boire pour participer à la fête de fin d'année. Alors qu’ils fouillent dans la cave du père de Janus à la recherche de bouteilles, ils font la découverte d'une étrange machine..."
24 heures à New-York,09/08/2023,,82,Vuk Lungulov-Klotz, Dulac Distribution ,"Lio Mehiel,Cole Doman,MiMi Ryder",Mutt,,"Anglais, Espagnol",Long-métrage,2023,-,,,,,,"Feña est un jeune homme trans qui mène une existence trépidante à New York. Au cours d’une seule journée, son père chilien, son ex-petit ami et sa demi-sœur de 13 ans refont surface dans sa vie. Ayant perdu le contact avec eux depuis sa transition, Feña va devoir réinventer ces anciennes relations, tout en gérant les défis quotidiens liés à sa nouvelle identité."
How to Have Sex,15/11/2023,,88,Molly Manning Walker, Condor Distribution ,"Mia McKenna-Bruce,Samuel Bottomley,Lara Peake",,"Grande-Bretagne,Grèce",Anglais,Long-métrage,2023,-,,,,,1 prix et 6 nominations,
Migration,06/12/2023,"Comédie,Famille,Aventure",,Benjamin Renner, Universal Pictures International France ,"Kumail Nanjiani,Elizabeth Banks, Awkwafina",,,Anglais,Long-métrage,2023,-,,,,,,"La famille Colvert est en proie à un dilemme d’ordre domestique. Alors que Mack est totalement satisfait de patauger paisiblement et définitivement avec sa famille, dans leur petite mare de la Nouvelle Angleterre, sa femme Pam serait plutôt du genre à bousculer un peu cette routine pour montrer à ses enfants - Dax qui n’est déjà plus un caneton et sa petite sœur Gwen - le reste du monde. Lorsqu’ils accueillent, le temps de leur halte, une famille de canards migrateurs, c’est l’occasion rêvée pour Pam de persuader Mack de les imiter et de se lancer dans un périple en famille : destination la Jamaïque, en passant par New York. Alors qu’ils s’envolent vers le soleil pour l’hiver, le plan si bien tracé des Colvert va vite battre de l’aile. Mais la tournure aussi chaotique et inattendue que vont prendre les choses va les changer à jamais et leur apprendre beaucoup plus que prévu."
After - Chapitre 5,,,,Castille Landon,,"Hero Fiennes Tiffin,Josephine Langford,Cora Kirk",After Everything,,Anglais,Long-métrage,2023,-,,,,,,"Hardin a du mal à aller de l'avant. En proie au syndrome de la page blanche et à la rupture brutale avec Tessa, Hardin se rend au Portugal à la recherche d'une femme à qui il a fait du tort dans le passé - et pour se retrouver lui-même. Dans l'espoir de reconquérir Tessa, il se rend compte qu'il doit changer ses habitudes avant de pouvoir prendre l'engagement ultime."
Flo,29/11/2023,,,Géraldine Danon, Metropolitan FilmExport ,"Stéphane Caillard,Alexis Michalik,Alison Wheeler",,,Français,Long-métrage,2023,14 M€,,,,,,
Blade,12/02/2025,,,Yann Demange, The Walt Disney Company France ,"Mahershala Ali,Delroy Lindo,Aaron Pierre",,,Anglais,Long-métrage,2025,-,,,,,,L'histoire de Deacon Frost avant qu'il ne cherche à devenir un Dieu-vampire.
Rebel Moon,,"Fantastique,Action",,Zack Snyder,,"Sofia Boutella,Charlie Hunnam,Ed Skrein",,,Anglais,Long-métrage,2023,-,,,,15 Photos,,"Dans une colonie pacifique aux confins de la galaxie. Bientôt, elle se trouve menacée par les armées du tyrannique régent Balisarius. Ils envoient une jeune femme au passé mystérieux chercher des guerriers sur les planètes voisines pour les aider à s'y installer."
Capitaines !,20/09/2023,"Famille,Aventure",52,Nicolas Hu, Les Films du Préau ,,,,Français,Long-métrage,2022,-,,,,,,Programme de 2 films d’animation :
Antigang : la relève,,,,Benjamin Rocher,,"Alban Lenoir,Cassiopée Mayance,Sofia Essaïdi",,,Français,Long-métrage,2023,-,,,,14 Photos,,"Ancienne légende de la brigade Antigang connue pour ses méthodes musclées et peu conventionnelles, Niels Cartier, a quitté la police à la suite d’une intervention qui a mal tourné et conduit au décès de sa femme. Quand le gang de braqueurs responsable de sa mort réapparait huit ans plus tard, Niels ne laisse personne se mettre en travers de son chemin pour obtenir vengeance. Quitte à devoir former malgré lui un duo explosif avec sa fille de 14 ans, au tempérament bien trempé…"
Marie-Line et son juge,11/10/2023,"Drame,Comédie",103,Jean-Pierre Améris, ARP Sélection ,"Louane Emera,Michel Blanc,Victor Belmondo",,,Français,Long-métrage,2023,-,,,,15 Photos,,"Marie-Line, 20 ans, est une serveuse énergique et bruyante. Sa rencontre avec un juge bougon et déprimé qui l’engage comme chauffeur, va bouleverser sa vie."
Rien à Perdre,22/11/2023,,112,Delphine Deloget, Ad Vitam ,"Virginie Efira,Félix Lefebvre,Arieh Worthalter",,,Français,Long-métrage,2023,-,,,,,8 nominations,
Les Quatre Fantastiques,30/04/2025,,,Matt Shakman, The Walt Disney Company France ,,Fantastic Four,,Anglais,Long-métrage,2025,-,,,,,,Un nouveau film pour Les quatre fantastiques.
Agent Stone,,"Thriller,Action",122,Tom Harper (III),,"Gal Gadot,Jamie Dornan,Matthias Schweighöfer",Heart of Stone,,Anglais,Long-métrage,2023,-,,,,27 Photos,,"Rachel Stone, spécialiste du renseignement pour une mystérieuse agence de maintien de la paix, tente d'empêcher une hackeuse de lui voler son arme la plus précieuse et redoutable."
